iter	Passed	Remaining
402	11268	268358
403	11295	268300
404	11321	268223
405	11349	268206
406	11375	268121
407	11402	268071
408	11431	268065
409	11456	267965
410	11482	267906
411	11508	267831
412	11534	267762
413	11547	267377
414	11572	267291
415	11597	267189
416	11625	267158
417	11651	267099
418	11676	267008
419	11703	266958
420	11730	266909
421	11758	266879
422	11783	266794
423	11810	266740
424	11837	266681
425	11863	266616
426	11889	266546
427	11916	266499
428	11944	266479
429	11972	266449
430	11998	266393
431	12023	266297
432	12034	265891
433	12060	265829
434	12087	265787
435	12114	265730
436	12139	265651
437	12166	265600
438	12195	265598
439	12224	265611
440	12251	265551
441	12280	265563
442	12307	265516
443	12335	265498
444	12363	265470
445	12376	265124
446	12401	265031
447	12427	264965
448	12453	264907
449	12479	264833
450	12507	264827
451	12537	264849
452	12557	264649
453	12570	264308
454	12598	264287
455	12625	264240
456	12640	263955
457	12667	263921
458	12692	263841
459	12718	263765
460	12744	263703
461	12771	263665
462	12796	263586
463	12821	263504
464	12848	263472
465	12858	263069
466	12884	263009
467	12909	262932
468	12936	262887
469	12962	262828
470	12987	262758
471	13012	262672
472	13038	262607
473	13063	262543
474	13089	262483
475	13117	262461
476	13144	262411
477	13169	262350
478	13196	262297
479	13221	262221
480	13248	262182
481	13274	262123
482	13299	262060
483	13326	262009
484	13352	261953
485	13376	261869
486	13402	261795
487	13428	261739
488	13454	261682
489	13466	261363
490	13491	261290
491	13504	260986
492	13530	260920
493	13558	260912
494	13583	260827
495	13609	260779
496	13635	260726
497	13661	260669
498	13686	260599
499	13713	260552
500	13741	260534
501	13767	260490
502	13793	260429
503	13818	260363
504	13845	260325
505	13872	260279
506	13896	260195
507	13922	260142
508	13946	260060
509	13973	260021
510	13999	259955
511	14029	259992
512	14057	259962
513	14085	259958
514	14112	259910
515	14137	259844
516	14146	259483
517	14173	259445
518	14200	259407
519	14226	259358
520	14252	259302
521	14278	259250
522	14304	259195
523	14330	259146
524	14355	259081
525	14380	259009
526	14407	258973
527	14433	258929
528	14459	258874
529	14488	258875
530	14515	258837
531	14541	258801
532	14567	258745
533	14594	258709
534	14620	258653
535	14645	258588
536	14671	258540
537	14698	258507
538	14724	258455
539	14750	258400
540	14776	258360
541	14801	258287
542	14813	257994
543	14838	257921
544	14865	257891
545	14891	257849
546	14916	257786
547	14927	257471
548	14953	257427
549	14977	257346
550	14986	257003
551	15013	256976
552	15040	256939
553	15066	256888
554	15092	256852
555	15119	256807
556	15144	256755
557	15157	256489
558	15166	256153
559	15192	256109
560	15220	256092
561	15246	256048
562	15272	255989
563	15297	255933
564	15323	255891
565	15350	255860
566	15376	255810
567	15402	255770
568	15416	255528
569	15443	255493
570	15469	255453
571	15480	255155
572	15506	255112
573	15531	255060
574	15557	255010
575	15584	254972
576	15608	254909
577	15634	254855
578	15658	254789
579	15678	254646
580	15703	254582
581	15713	254282
582	15740	254243
583	15767	254226
584	15778	253940
585	15804	253903
586	15833	253903
587	15859	253865
588	15885	253822
589	15910	253765
590	15936	253723
591	15965	253721
592	15996	253759
593	16023	253739
594	16050	253700
595	16075	253654
596	16102	253620
597	16128	253577
598	16154	253544
599	16180	253488
600	16206	253452
601	16233	253429
602	16258	253373
603	16287	253368
604	16311	253305
605	16338	253273
606	16365	253246
607	16392	253228
608	16418	253176
609	16443	253127
610	16470	253101
611	16498	253080
612	16525	253061
613	16551	253009
614	16578	252990
615	16604	252942
616	16631	252925
617	16642	252656
618	16655	252417
619	16680	252359
620	16705	252299
621	16731	252265
622	16742	251991
623	16767	251946
624	16793	251897
625	16819	251869
626	16848	251861
627	16877	251877
628	16905	251868
